TD ID TJ DF Dd Db
6 19 4 2 0 2
7 4 3 4 0 4
7 6 3 4 0 4
7 8 3 4 0 4
8 18 4 4 0 4
8 21 6 2 0 2
8 9 3 5 0 5
8 2 3 5 0 5
9 20 4 5 0 5
9 29 6 3 0 3
10 17 4 6 0 6
10 25 6 4 0 4
10 31 8 2 0 2
10 43 9 1 0 1
11 44 9 2 0 2
11 45 9 2 0 2
11 37 8 3 0 3
11 39 8 3 0 3
11 42 9 2 0 2
12 48 9 3 0 3
12 52 12 0 0 0
12 28 6 6 0 6
12 38 8 4 0 4
13 54 12 1 0 1
13 58 12 1 0 1
13 22 6 7 0 7
14 49 9 5 0 5
14 35 8 6 0 6
14 67 14 0 0 0
14 65 14 0 0 0
15 68 14 1 0 1
15 64 14 1 0 1
16 79 16 0 0 0
16 72 16 0 0 0
16 59 12 4 0 4
16 74 16 0 0 0
16 15 4 12 0 12
17 85 17 0 0 0
17 40 8 9 0 9
17 90 17 0 0 0
17 56 12 5 0 5
18 88 17 1 0 1
18 89 17 1 0 1
18 83 17 1 0 1
18 87 17 1 0 1
21 84 17 4 0 4
21 95 21 0 0 0
21 62 14 7 0 7
21 57 12 9 0 9
21 34 8 13 0 13
21 30 6 15 0 15
21 81 17 4 0 4
21 97 21 0 0 0
21 70 14 7 0 7
21 33 8 13 0 13
21 75 16 5 0 5
21 55 12 9 0 9
21 24 6 15 0 15
22 100 21 1 0 1
22 91 21 1 0 1
22 93 21 1 0 1
22 99 21 1 0 1
22 96 21 1 0 1
22 92 21 1 0 1
23 86 17 6 0 6
24 106 23 1 0 1
24 104 23 1 0 1
25 108 23 2 0 2
25 112 25 0 0 0
26 115 25 1 0 1
26 118 25 1 0 1
26 120 25 1 0 1
26 114 25 1 0 1
26 117 25 1 0 1
27 126 26 1 0 1
27 127 26 1 0 1
27 130 26 1 0 1
27 122 26 1 0 1
27 123 26 1 0 1
28 121 26 2 0 2
29 125 26 3 0 3
29 138 29 0 0 0
30 135 29 1 0 1
30 140 29 1 0 1
30 131 29 1 0 1
30 128 26 4 0 4
30 116 25 5 0 5
30 107 23 7 0 7
30 134 29 1 0 1
0 110 23 0 -23 -23
0 73 16 1 -17 -16
0 82 17 0 -17 -17
0 80 16 0 -16 -16
0 41 9 1 -10 -9
0 23 6 3 -9 -6
0 3 3 5 -8 -3
0 11 4 4 -8 -4
0 16 4 4 -8 -4
0 10 3 4 -7 -3
0 12 4 2 -6 -4
0 14 4 3 -7 -4
0 47 9 3 -12 -9
0 46 9 3 -12 -9
0 27 6 1 -7 -6
0 36 8 2 -10 -8
0 32 8 2 -10 -8
0 50 9 2 -11 -9
0 26 6 6 -12 -6
0 13 4 9 -13 -4
0 5 3 11 -14 -3
0 7 3 11 -14 -3
0 60 12 2 -14 -12
0 1 3 11 -14 -3
0 71 16 0 -16 -16
0 77 16 0 -16 -16
0 98 21 0 -21 -21
36 142 36 0 0 0
36 132 29 7 0 7
37 148 36 1 0 1
39 153 38 1 0 1
39 154 38 1 0 1
39 158 38 1 0 1
39 160 38 1 0 1
39 151 38 1 0 1
42 166 41 1 0 1
42 167 41 1 0 1
42 165 41 1 0 1
42 168 41 1 0 1
43 177 42 1 0 1
43 178 42 1 0 1
44 172 42 2 0 2
44 173 42 2 0 2
44 175 42 2 0 2
45 171 42 3 0 3
45 176 42 3 0 3
Earth Army
Total Earth Soliders: 334  Total Earth Tanks: 155 Total Earth Gunnery: 86
Percentage Of Destructed Units Relative To Their Total:
Earth Soliders: 100 Earth Tanks: 100 Earth Gunnery: 100
Percentage Of Total Destructed Units Relative To Their Total:100
3 -2 0
5 -4
Total Healed ratio: 0
Alien Army
Total Alien Soldiers: 210  Total Alien Monester: 147 Total Alien Drones: 121
Percentage Of Destructed Units Relative To Their Total : Alien Soldiers: 0 Alien Monesters: 0 Alien Drones: 0
Percentage Of Total Destructed Units Relative To Their Total:0
0 0 0
0 0
